SampleID,Sample_Type,Primer,Eukaryota,Alphaproteobacteria,Gastropoda,Bacilli,Saccharomycetes,Actinobacteria,Gammaproteobacteria,Unassigned,Vampirivibrionia,Cyanobacteriia,Clostridia,Myxococcia,Bacteroidia,Planctomycetes,Anaerolineae,Vicinamibacteria,Intramacronucleata,Polyangiia,Fusobacteriia,Chrysophyceae,Phaeophyceae,Acidobacteriae,Oligoflexia,Corallinophycidae,Bacteriovoracia,Mamiellophyceae,Holothuroidea,Gemmatimonadia,Sordariomycetes,Phycisphaerae,Enoplea,Dinoflagellata,Phytomyxea,Thermoleophilia,Gracilibacteria,Clade_VII,Embryophyta,Ichthyosporea,Mediophyceae,Dinophyceae,Parcubacteria,Bivalvia,Mammalia,Incertae_Sedis, Incertae_Sedis,KD4-96,Bacillariophyceae,Rhodymeniophycidae,Ostracoda,Cryptophyceae,Chlamydiia,Ulvophyceae,MALV-I,Pucciniomycetes,Maxillopoda,Trebouxiophyceae,Chloroflexia,Hydrozoa,Negativicutes,Malasseziomycetes,Bacteria,Agaricomycetes
SUH297,Proximal duct,16S,0.030405405,0.138738739,0,0.20045045,0,0.13963964,0.284009009,0.050225225,0,0,0.153828829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002702703,0
SUH298,Proximal duct,16S,0.024324324,0.417792793,0,0,0,0.062837838,0.097522523,0.081981982,0,0,0,0,0.124099099,0,0.118468468,0,0,0,0.038963964,0,0,0,0.034009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH299,Proximal duct,16S,0.023648649,0.246621622,0,0.191666667,0,0.065540541,0.209684685,0.112162162,0.061036036,0,0,0,0.05990991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH300,Proximal duct,16S,0.021396396,0.418693694,0,0.078603604,0,0,0.222747748,0.089864865,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.069369369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003378378,0,0,0,0.029279279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH301,Proximal duct,16S,0.062837838,0.527702703,0,0.184684685,0,0.011036036,0.175,0.038738739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH200,"Whole venom gland (proximal, distal, bulb)",18S,0.47454955,0,0,0,0.121171171,0,0,0,0,0,0,0,0,0,0,0,0.113738739,0,0,0,0,0,0,0,0,0,0.093693694,0,0,0,0,0,0,0,0,0,0,0,0.121621622,0,0,0,0,0,0,0,0,0,0,0.075225225,0,0,0,0,0,0,0,0,0,0,0,0
SUH201,"Whole venom gland (proximal, distal, bulb)",18S,0.56981982,0,0,0,0.222522523,0,0,0,0,0,0,0,0,0,0,0,0.132882883,0,0,0,0,0,0,0,0,0,0.074774775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH202,"Whole venom gland (proximal, distal, bulb)",18S,0.828828829,0,0.122297297,0,0,0,0,0.000225225,0,0,0,0,0,0,0,0,0.036486486,0,0,0,0,0,0,0.012162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH203,"Whole venom gland (proximal, distal, bulb)",18S,0.916216216,0,0.038738739,0,0,0,0,0.002477477,0,0,0,0,0,0,0,0,0,0,0,0.006306306,0,0,0,0,0,0,0.014414414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007207207,0,0,0,0,0.008783784,0,0,0,0.005855856,0,0,0,0,0,0,0,0,0,0
SUH204,"Whole venom gland (proximal, distal, bulb)",18S,0.42972973,0,0,0,0,0,0,0.000675676,0,0,0,0,0,0,0,0,0,0,0,0,0.232432432,0,0,0.155630631,0,0,0,0,0,0,0,0.159459459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022072072,0,0
SUH292,"Whole venom gland (proximal, distal, bulb)",16S,0.00990991,0.20990991,0,0.193243243,0,0.161261261,0.127252252,0.12545045,0,0,0,0,0.079954955,0.04954955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043468468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH293,"Whole venom gland (proximal, distal, bulb)",16S,0.029954955,0.456756757,0,0,0,0.036261261,0.190540541,0.071621622,0,0.103153153,0,0,0.111711712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH294,"Whole venom gland (proximal, distal, bulb)",16S,0.044144144,0.316441441,0,0.282657658,0,0,0.098198198,0.100900901,0,0,0.024774775,0,0.013738739,0,0.016216216,0,0,0,0,0,0,0.060585586,0,0,0,0,0,0,0,0.042342342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH295,"Whole venom gland (proximal, distal, bulb)",16S,0.042342342,0.21981982,0,0.070720721,0,0.176801802,0.072972973,0.168243243,0,0.121171171,0,0,0.127927928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH296,"Whole venom gland (proximal, distal, bulb)",16S,0.023423423,0.384684685,0,0.21463964,0,0.144144144,0.022972973,0.135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
